Source	Destination
CAYGL	CAYGW
CAYGL	CAYPX
CAYGL	CAYUL
CAYGW	CAYPH
CAYGW	CAYSK
CAYGW	CAYUL
CAYGW	CAYUY
CAYIK	CAYZG
CAYKG	CAYVP
CAYKL	CAYQB
CAYKL	CAYVP
CAYKL	CAYWK
CAYKL	CAYZV
CAYPH	CAYPX
CAYPH	CAYVP
CAYPX	CAYVP
CAYQB	CAYUL
CAYTQ	CAYVP
CAYUL	CAYUY
CAYVP	CAYGW
CAYWK	CAYZV
CAYGZ	CAYRB
CAYEG	CAYXY
CAYLW	CAYVR
CAYLW	CAYXY
CAYOW	CAYZF
CAYVR	CAYXY
CAYXY	CAYYC
CAYXY	CAYZF
CAYYC	CAYEG
CAYBK	CAYCS
CAYBK	CAYXN
CAYCB	CAYCO
CAYCB	CAYYH
CAYCB	CAYZF
CAYCO	CAYZF
CAYCS	CAYRT
CAYCY	CAYFB
CAYCY	CAYIO
CAYEG	CAYZF
CAYEK	CAYXN
CAYEK	CAYYQ
CAYEV	CAYVQ
CAYFB	CAYGT
CAYFB	CAYOW
CAYFB	CAYRT
CAYFB	CAYTE
CAYFB	CAYUX
CAYFB	CAYXP
CAYGT	CAYIO
CAYGT	CAYUX
CAYHK	CAYYH
CAYHK	CAYZF
CAYRT	CAYBK
CAYRT	CAYEK
CAYRT	CAYUT
CAYRT	CAYYQ
CAYRT	CAYZF
CAYRT	CAYZS
CAYTH	CAYYQ
CAYVM	CAYXP
CAYVQ	CAYZF
CAYWG	CAYRT
CAYWG	CAYYQ
CAYXN	CAYRT
CAYZF	CAYYH
CAYZS	CAYUT
CAYEV	CAYHI
CAYEV	CAYPC
CAYEV	CAYSY
CAYEV	CAYUB
CAYEV	CAZFM
CAYHI	CAYSY
CAYBK	CAYUT
CAYCB	CAYHK
CAYCO	CAYHI
CAYCS	CAYZS
CAYFB	CAYLC
CAYFB	CAYVP
CAYFS	CAYZF
CAYHY	CAYZF
CAYTE	CAYZS
CAYUL	CAYVP
CAYBL	CAYQQ
CAYBL	CAYVR
CAYLW	CAYXC
CAYPW	CAYVR
