Source	Destination
USBRL	USORD
USBRL	USSTL
USDEC	USORD
USDEC	USSTL
USJBR	USSTL
USAKV	CAYIK
USAKV	CAYPX
CAYGL	CAYGW
CAYGL	CAYPX
CAYGL	CAYUL
CAYGW	CAYPH
CAYGW	CAYSK
CAYGW	CAYUL
CAYGW	CAYUY
CAYIK	CAYZG
CAYKG	CAYVP
CAYKL	CAYQB
CAYKL	CAYVP
CAYKL	CAYWK
CAYKL	CAYZV
CAYPH	CAYPX
CAYPH	CAYVP
CAYPX	CAYVP
CAYQB	CAYUL
CAYTQ	CAYVP
CAYUL	CAYUY
CAYVP	CAYGW
CAYWK	CAYZV
USATL	USLWB
USATL	USMCN
USATL	USMEI
USATL	USMSL
USATL	USPIB
USATL	USTUP
USEYW	USFLL
USEYW	USRSW
USEYW	USTPA
USFLL	USMCO
USFLL	USTPA
USGLH	USTUP
USGNV	USMCO
USGNV	USTPA
USJAX	USTPA
USMCN	USMCO
USMCO	USPNS
USMCO	USRSW
USMCO	USTLH
USPBI	USTPA
USPNS	USTPA
USTLH	USTPA
USLAS	USLAX
CAYGZ	CAYRB
CAYEG	CAYXY
CAYLW	CAYVR
CAYLW	CAYXY
CAYOW	CAYZF
CAYVR	CAYXY
CAYXY	CAYYC
CAYXY	CAYZF
CAYYC	CAYEG
USDVO	CAZAM
CAYBK	CAYCS
CAYBK	CAYXN
CAYCB	CAYCO
CAYCB	CAYYH
CAYCB	CAYZF
CAYCO	CAYZF
CAYCS	CAYRT
CAYCY	CAYFB
CAYCY	CAYIO
CAYEG	CAYZF
CAYEK	CAYXN
CAYEK	CAYYQ
CAYEV	CAYVQ
CAYFB	CAYGT
CAYFB	CAYOW
CAYFB	CAYRT
CAYFB	CAYTE
CAYFB	CAYUX
CAYFB	CAYXP
CAYGT	CAYIO
CAYGT	CAYUX
CAYHK	CAYYH
CAYHK	CAYZF
CAYRT	CAYBK
CAYRT	CAYEK
CAYRT	CAYUT
CAYRT	CAYYQ
CAYRT	CAYZF
CAYRT	CAYZS
CAYTH	CAYYQ
CAYVM	CAYXP
CAYVQ	CAYZF
CAYWG	CAYRT
CAYWG	CAYYQ
CAYXN	CAYRT
CAYZF	CAYYH
CAYZS	CAYUT
CAYEV	CAYHI
CAYEV	CAYPC
CAYEV	CAYSY
CAYEV	CAYUB
CAYEV	CAZFM
CAYHI	CAYSY
CAYBK	CAYUT
CAYCB	CAYHK
CAYCO	CAYHI
CAYCS	CAYZS
CAYFB	CAYLC
CAYFB	CAYVP
CAYFS	CAYZF
CAYHY	CAYZF
CAYTE	CAYZS
CAYUL	CAYVP
USADQ	USANC
USAIN	USATK
USANC	USANI
USADQ	USAKK
CAYBL	CAYQQ
CAYBL	CAYVR
CAYLW	CAYXC
CAYPW	CAYVR
CAYQQ	CAYVR
CAYVR	CAYWL
CAYVR	CAYXC
CAYVR	CAYYJ
CAYVR	CAYZT
CAYVR	CAZMT
CAYFJ	CAYZF
CAYRA	CAYZF
CAYSG	CAYZF
USATL	USAZO
USATL	USCHA
USATL	USCID
USATL	USCRW
USATL	USCVG
USATL	USEVV
USATL	USFWA
USATL	USGSO
USATL	USGSP
USATL	USLAN
USATL	USLEX
USATL	USMBS
USATL	USMSP
USATL	USROA
USATL	USSYR
USATL	USTYS
USATL	USXNA
USDTW	USMSY
USGFK	USTVF
USJFK	USMSY
USLGA	USMSY
USMDT	USATL
USMEM	USMSY
USMSP	USMSY
USACK	USBOS
